gpuName,G3Dmark,G2Dmark,price,TDP,testDate,category
Quadro RTX 4000 (Mobile),13008,588,691.2166666666667,110.0,2019,Mobile
GeForce GTX 1660 SUPER,12732,823,329.99,125.0,2019,Desktop
GeForce RTX 3060 Laptop GPU,12674,551,479.99,115.0,2021,Mobile
Radeon Pro 5700 XT,12537,831,743.3655555555556,130.0,2020,Desktop
Radeon Pro Vega 56,12386,860,743.3655555555556,148.90625,2018,Desktop
GeForce RTX 2070 (Mobile),12354,601,691.2166666666667,115.0,2019,Mobile
Quadro P5200,12144,667,691.2166666666667,148.90625,2018,Mobile
GeForce RTX 2070 with Max-Q Design,12062,506,691.2166666666667,80.0,2019,Mobile
Quadro P4200 with Max-Q Design,11869,583,3341.3309999999997,148.90625,2018,Workstation
Radeon Pro 5700,11844,829,743.3655555555556,130.0,2020,Desktop
GeForce GTX 1660 Ti,11794,702,349.99,120.0,2019,Desktop
GeForce GTX 1660,11695,796,399.99,120.0,2019,Desktop
GeForce RTX 2060 (Mobile),11355,540,691.2166666666667,80.0,2019,Mobile
Radeon RX 5600,11030,935,743.3655555555556,150.0,2020,Desktop
GeForce GTX 1070 (Mobile),10465,603,691.2166666666667,148.90625,2019,Mobile
Radeon Pro 5600M,10200,702,691.2166666666667,50.0,2020,Mobile
GeForce GTX 1660 Ti (Mobile),10176,507,691.2166666666667,50.0,2019,Mobile
GeForce GTX 1650 SUPER,10032,761,441.05,100.0,2019,Desktop
Quadro P4200,9827,607,3341.3309999999997,100.0,2018,Workstation
GeForce RTX 2060 with Max-Q Design,9743,434,691.2166666666667,65.0,2020,Mobile
Radeon RX 590,9665,810,549.99,175.0,2018,Desktop
Quadro P2200,9486,971,577.17,75.0,2019,Workstation
GeForce RTX 3050 Ti Laptop GPU,9452,416,691.2166666666667,80.0,2021,Mobile
Radeon Pro W5500,9269,896,480.99,125.0,2020,Desktop
Radeon RX 5500 XT,9188,824,449.0,130.0,2019,Desktop
GeForce RTX 3050 Laptop GPU,9037,416,379.99,80.0,2021,Mobile
Radeon RX 6800M,9012,643,691.2166666666667,145.0,2021,Mobile
Radeon RX 5500,8817,864,743.3655555555556,150.0,2019,Desktop
Quadro RTX 3000 with Max-Q Design,8754,350,691.2166666666667,60.0,2019,Mobile
GeForce GTX 1060 5GB,8704,680,487.99,120.0,2018,Desktop
GeForce GTX 1660 Ti with Max-Q Design,8646,378,691.2166666666667,60.0,2019,Mobile
Radeon RX590 GME,8628,704,743.3655555555556,175.0,2020,Desktop
GeForce GTX 1060 (Mobile),8161,444,691.2166666666667,80.0,2019,Mobile
GeForce GTX 1650,7807,592,209.0,75.0,2019,Desktop
Radeon RX 580X,7798,885,743.3655555555556,185.0,2019,Desktop
Radeon RX 5300,7611,854,743.3655555555556,100.0,2021,Desktop
Radeon Pro 580X,7540,698,743.3655555555556,150.0,2019,Desktop
GeForce GTX 1650 Ti,7490,399,691.2166666666667,55.0,2020,Mobile
Quadro T2000,7169,479,528.35,148.90625,2019,Mobile
Radeon RX 5600M,7157,537,691.2166666666667,150.0,2020,Mobile
GeForce GTX 1650 (Mobile),6969,384,691.2166666666667,50.0,2019,Mobile
Quadro T2000 with Max-Q Design,6871,454,691.2166666666667,148.90625,2020,Mobile
Quadro T1000 with Max-Q Design,6589,412,691.2166666666667,148.90625,2020,Mobile
Quadro T1000,6513,448,441.99,148.90625,2019,Mobile
GeForce GTX 1650 Ti with Max-Q Design,6342,338,691.2166666666667,35.0,2020,Mobile
Radeon Pro WX Vega M GL,6049,777,691.2166666666667,65.0,2019,Mobile
GeForce GTX 1050 Ti (Mobile),5919,323,691.2166666666667,148.90625,2019,Mobile
GeForce GTX 1650 with Max-Q Design,5884,318,691.2166666666667,35.0,2019,Mobile
Radeon Pro WX 7130,5722,695,691.2166666666667,130.0,2020,Mobile
GeForce GTX 1050 Ti with Max-Q Design,5372,362,691.2166666666667,148.90625,2018,Mobile
GeForce GTX 1050 (Mobile),4462,292,691.2166666666667,148.90625,2019,Mobile
Radeon RX 5500M,4010,414,691.2166666666667,85.0,2020,Mobile
GeForce GTX 1050 with Max-Q Design,3785,297,691.2166666666667,148.90625,2018,Mobile
Quadro P620,3640,575,236.49,40.0,2018,Workstation
Radeon RX 5300M,3562,366,691.2166666666667,85.0,2020,Mobile
Radeon RX 560X,3181,487,743.3655555555556,75.0,2018,Desktop
Radeon Pro WX 3200,2456,478,216.99,65.0,2019,Mobile
Radeon RX 550X,2370,508,743.3655555555556,50.0,2019,Desktop
Radeon RX Vega 11,2137,535,1002.0,148.90625,2018,Desktop
Radeon R9 M385,2018,230,691.2166666666667,70.0,2020,Mobile
Radeon Pro W5500M,2010,533,691.2166666666667,85.0,2020,Mobile
Radeon R9 M385X,1929,285,691.2166666666667,75.0,2019,Mobile
Radeon RX 570X,1923,750,279.99,120.0,2020,Desktop
Radeon Vega 8,1593,421,126.86,148.90625,2018,"Desktop, Mobile"
Radeon RX 640,1537,277,126.86,50.0,2020,"Desktop, Mobile"
Radeon Pro WX 4170,1409,427,691.2166666666667,50.0,2019,Mobile
Radeon R9 M280X,922,272,691.2166666666667,75.0,2020,Mobile
